# package_name	weekly_downloads
plotly	13495
leaflet-easybutton	13273
jquery-hoverintent	13190
igv	13157
scrollama	13127
gifshot	13007
webxr-layers-polyfill	12945
base64	12927
forms	12825
fortmatic	12819
vue-material	12734
codeflask	12703
just-validate	12694
fontawesome	12522
splitting	12504
soundmanager2	12417
popper	12354
spin	12330
devicon	12266
flag	12240
netlify-identity-widget	12187
macintosh	11975
blueimp-gallery	11940
jquery-jcrop	11919
octicons	11904
typeit	11901
jquery-timepicker	11770
onsenui	11762
card	11707
ol-layerswitcher	11702
code	11661
web	11623
peity	11551
cal-heatmap	11388
socket	11276
shell	11193
bbcode	10994
infinite-scroll	10846
blanket	10839
bootstrap-markdown	10835
photon	10794
smoothscroll	10681
image-compare-viewer	10616
hint.css	10599
jquery-csv	10471
bulma-extensions	10399
material-design-iconic-font	10341
jqvmap	10319
kendo-ui-core	10304
icons	10258
admin	10231
plupload	10162
sticky-kit	10083
lity	9972
cash	9921
pixi-particles	9832
list	9802
echarts-liquidfill	9758
createjs	9724
ocaml	9621
bugsnag	9617
python	9492
houdini	9484
videojs-overlay	9349
purify	9311
jquery-sticky	9262
gpt	9165
kotlin	9139
justgage	9014
tinycon	8945
jquery-zoom	8935
common	8811
babylonjs-loaders	8693
bxslider	8581
jquery.flot	8498
angular-translate-storage-local	8470
bootstrap4-toggle	8422
jquery-confirm	8389
angular-translate-handler-log	8330
leaflet-lasso	8288
jquery-smooth-scroll	8150
bootstrap-validator	8149
nanobar	8143
jquery-visible	8074
jquery-easing	7996
chartist-plugin-legend	7905
moveto	7868
angular-input-masks	7768
qrcodejs	7715
jquery-once	7701
d3v3	7694
jquery-steps	7649
dist	7548
pagination	7536
rgbaster	7520
simplelightbox	7495
iview	7463
requestanimationframe	7346
polyfill	7342
fancybox	7327
bootstrap-social	7325
tocca	7320
prettify	7247
anchor-js	7207
framer	7132
fuse	7074
prism	7064
angular-loader	6993
openlayers	6992
tinysort	6910
jquery-tooltipster	6894
chart	6879
featherlight	6803
boostrap	6793
lazyload	6752
draggable	6748
jquery-blockui	6740
fitvids	6712
before	6710
bootstrap-lightbox	6706
iconify	6688
in-view	6609
toast	6605
etherscan-api	6600
jquery-color	6581
respond.js	6573
gijgo	6546
classlist	6539
jquery-inview	6517
jquery-textcomplete	6469
mathquill	6443
gist	6357
biginteger	6349
dom	6346
vue-masonry-css	6334
gpu.js	6327
yt-player	6291
jquery-base64	6267
viewer	6242
site	6151
reset	6127
leaflet-hash	6126
firacode	6118
algebrite	6106
bootstrap-hover-dropdown	6059
leaflet-spin	6056
stats-js	6049
venobox	6019
elm-pep	6013
jquery-slim	5930
abc	5926
jquery-chained	5875
custom-select	5852
minimasonry	5840
normalize	5826
weather-icons	5784
riot	5691
bootstrap-datetimepicker	5690
hybrids	5658
wallet-address-validator	5630
date	5547
ml5	5496
highlight	5443
microtip	5416
loader	5403
granim	5379
material	5343
tooltip	5298
epub	5241
shared	5241
jspsych	5217
pickmeup	5215
maptalks	5205
loading-attribute-polyfill	5194
schemapack	5164
jquery-hotkeys	5133
toc	5132
jquery-lazy	5110
leancloud-storage	5081
annyang	5078
jexcel	5071
dialog	5025
panel	5013
panolens	4999
canvasjs	4992
xstyle	4961
masked	4937
font-awesome-animation	4882
bootstrap-duallistbox	4868
leaflet-heatmap	4835
pjax	4778
haml	4756
popover	4688
jquery-textfill	4686
routes	4659
mario	4654
sharer.js	4630
social-logos	4608
d3-simple-slider	4547
psd	4523
jquery-flot	4518
counterup	4506
modal-video	4486
pushy	4478
circletype	4460
lottie	4407
wavesurfer	4398
instant.page	4365
lightslider	4313
jquery-maskmoney	4276
angular-motion	4263
flexslider	4258
semantic-ui	4238
bootstrap3	4216
shariff	4213
line2	4212
bootstrap-input-spinner	4193
livescript	4158
bootstrap-wysiwyg	4148
chroma	4135
node-snackbar	4130
colorjoe	4111
barrage	4072
browser	4005
form	3999
instascan	3999
bulma-slider	3993
swfobject	3949
remodal	3945
fork-awesome	3880
angular-storage	3864
jquery-bracket	3864
jplayer	3863
component	3798
magic-grid	3762
jquery-xml2json	3741
leaflet-pixi-overlay	3738
ua-parser	3654
jquery-sortablejs	3623
marketplace	3594
jquery-autocomplete	3555
suggestions-jquery	3535
gunzip	3479
dplayer	3466
angular-masonry	3418
swipebox	3406
firebase-auth	3399
mixitup	3367
tracking	3306
inter	3293
wp-admin	3278
countup	3275
public	3240
accordion	3219
simple-lightbox	3200
flipclock	3194
nord	3192
confetti	3176
angular-file-upload-shim	3166
angular-modal-service	3150
google-fonts	3141
customize	3139
cover	3136
leaflet-omnivore	3134
rickshaw	3115
swipe-listener	3115
mapbox-gl-geocoder	3111
ruby	3105
leaflet-side-by-side	3054
button	3053
typeahead	3041
leaflet-sidebar-v2	3035
valine	3003
gitalk	2966
helper	2966
jquery-unveil	2949
bootstrap-vertical-tabs	2943
upload	2917
smalltalk	2891
tabletop	2888
geolocation	2872
scroll-out	2825
css-doodle	2817
lasso	2807
cannon	2779
leaflet.nontiledlayer	2768
switchery	2743
nanogallery2	2740
jquery-nice-select	2738
placeholder	2732
font-family	2725
amplify	2721
menubar	2721
filesaver	2711
milligram	2702
